# street	side	from	to	range
saint-laurent	E	beaubien	saint-zotique	6537-6703
saint-laurent	W	beaubien	saint-zotique	6484-6602
saint-laurent	E	saint-zotique	mozart	6705-6979
saint-laurent	W	saint-zotique	mozart	6700-6950
saint-laurent	E	mozart	jean-talon	6981-7203
saint-laurent	W	mozart	jean-talon	7010-7188
clark	E	beaubien	saint-zotique	6505-6585
clark	W	beaubien	saint-zotique	6506-6660
clark	E	saint-zotique	beaumont	6705-6843
clark	W	saint-zotique	beaumont	6662-6852
clark	E	beaumont	mozart	6845-6901
clark	W	beaumont	mozart	6900-6934
clark	E	mozart	jean-talon	7019-7193
clark	W	mozart	jean-talon	6936-7194
saint-urbain	E	beaubien	saint-zotique	6535-6695
saint-urbain	W	beaubien	saint-zotique	6600-6650
saint-urbain	E	saint-zotique	beaumont	6709-6845
saint-urbain	W	saint-zotique	beaumont	6666-6880
saint-urbain	E	mozart	jean-talon	7001-7175
saint-urbain	W	mozart	jean-talon	7002-7182
beaubien	S	saint-laurent	clark	2-44
beaubien	N	saint-laurent	clark	7-9
beaubien	S	clark	saint-urbain	56-90
beaubien	N	clark	saint-urbain	51-99
saint-zotique	S	saint-laurent	clark	None
saint-zotique	N	saint-laurent	clark	19-35
saint-zotique	S	clark	saint-urbain	52-92
saint-zotique	N	clark	saint-urbain	37-95
beaumont	S	clark	saint-urbain	80-82
beaumont	N	clark	saint-urbain	51-115
mozart	S	saint-laurent	clark	16-22
mozart	N	saint-laurent	clark	17-45
mozart	S	clark	saint-urbain	54-98
mozart	N	clark	saint-urbain	53-77
jean-talon	S	saint-laurent	clark	2-40
jean-talon	N	saint-laurent	clark	35-51
jean-talon	S	clark	saint-urbain	42-90
jean-talon	N	clark	saint-urbain	53-95
